"Date","Price","Open","High","Low","Vol.","Change %"
"01/16/2013","1,472.63","1,472.33","1,473.96","1,467.60","","0.02%"
"01/15/2013","1,472.34","1,470.67","1,473.31","1,463.76","","0.11%"
"01/14/2013","1,470.68","1,472.05","1,472.05","1,465.69","","-0.09%"
"01/11/2013","1,472.05","1,472.12","1,472.75","1,467.58","","0.00%"
"01/10/2013","1,472.12","1,464.64","1,472.30","1,461.02","","0.76%"
"01/09/2013","1,461.02","1,457.15","1,464.73","1,457.15","","0.27%"
"01/08/2013","1,457.15","1,461.89","1,461.89","1,451.64","","-0.32%"
"01/07/2013","1,461.89","1,466.47","1,466.47","1,456.62","","-0.31%"
"01/04/2013","1,466.47","1,459.37","1,467.94","1,458.99","","0.49%"
"01/03/2013","1,459.37","1,462.42","1,465.47","1,455.53","","-0.21%"
"01/02/2013","1,462.42","1,426.19","1,462.43","1,426.19","","2.54%"
"12/31/2012","1,426.19","1,402.43","1,426.74","1,398.11","","1.69%"
"12/28/2012","1,402.43","1,418.10","1,418.10","1,401.58","","-1.10%"
"12/27/2012","1,418.10","1,419.83","1,422.80","1,401.80","","-0.12%"
"12/26/2012","1,419.83","1,426.66","1,429.42","1,416.43","","-0.48%"
"12/24/2012","1,426.66","1,430.15","1,430.15","1,424.66","","-0.24%"
"12/21/2012","1,430.15","1,443.67","1,443.67","1,422.58","","-0.94%"
"12/20/2012","1,443.69","1,435.81","1,443.70","1,432.82","","0.55%"
"12/19/2012","1,435.81","1,446.79","1,447.75","1,435.80","","-0.76%"
"12/18/2012","1,446.79","1,430.47","1,448.00","1,430.47","","1.15%"
"12/17/2012","1,430.36","1,413.54","1,430.67","1,413.54","","1.19%"
"12/14/2012","1,413.58","1,419.45","1,419.45","1,411.88","","-0.41%"
"12/13/2012","1,419.45","1,428.48","1,431.36","1,416.00","","-0.63%"
"12/12/2012","1,428.48","1,427.84","1,438.59","1,426.76","","0.04%"
"12/11/2012","1,427.84","1,418.55","1,434.27","1,418.55","","0.65%"
"12/10/2012","1,418.55","1,418.07","1,421.64","1,415.64","","0.03%"
"12/07/2012","1,418.07","1,413.95","1,420.34","1,410.90","","0.29%"
"12/06/2012","1,413.94","1,409.43","1,413.95","1,405.93","","0.33%"
"12/05/2012","1,409.28","1,407.05","1,415.56","1,398.23","","0.16%"
"12/04/2012","1,407.05","1,409.46","1,413.14","1,403.65","","-0.17%"
"12/03/2012","1,409.46","1,416.34","1,423.73","1,408.46","","-0.47%"
"11/30/2012","1,416.18","1,415.95","1,418.86","1,411.63","","0.02%"
"11/29/2012","1,415.95","1,409.96","1,419.70","1,409.04","","0.43%"
"11/28/2012","1,409.93","1,398.77","1,410.31","1,385.43","","0.79%"
"11/27/2012","1,398.94","1,406.29","1,409.01","1,398.03","","-0.52%"
"11/26/2012","1,406.29","1,409.15","1,409.15","1,397.68","","-0.20%"
"11/23/2012","1,409.15","1,391.03","1,409.16","1,391.03","","1.30%"
"11/21/2012","1,391.03","1,387.79","1,391.25","1,386.39","","0.23%"
"11/20/2012","1,387.81","1,386.82","1,389.77","1,377.04","","0.07%"
"11/19/2012","1,386.89","1,359.88","1,386.89","1,359.88","","1.99%"
"11/16/2012","1,359.88","1,353.36","1,362.03","1,343.35","","0.48%"
"11/15/2012","1,353.33","1,355.41","1,360.62","1,348.05","","-0.16%"
"11/14/2012","1,355.49","1,374.64","1,380.13","1,352.50","","-1.39%"
"11/13/2012","1,374.53","1,380.03","1,388.81","1,371.39","","-0.40%"
"11/12/2012","1,380.03","1,379.86","1,384.87","1,377.19","","0.01%"
"11/09/2012","1,379.85","1,377.55","1,391.39","1,373.03","","0.17%"
"11/08/2012","1,377.51","1,394.53","1,401.23","1,377.51","","-1.22%"
"11/07/2012","1,394.53","1,428.27","1,428.27","1,388.14","","-2.37%"
"11/06/2012","1,428.39","1,417.26","1,433.38","1,417.26","","0.79%"
"11/05/2012","1,417.26","1,414.02","1,419.90","1,408.13","","0.22%"
"11/02/2012","1,414.20","1,427.59","1,434.27","1,412.91","","-0.94%"
"11/01/2012","1,427.59","1,412.20","1,428.35","1,412.20","","1.09%"
"10/31/2012","1,412.16","1,410.99","1,418.76","1,405.95","","0.02%"
"10/26/2012","1,411.94","1,412.97","1,417.09","1,403.28","","-0.07%"
"10/25/2012","1,412.97","1,409.74","1,421.12","1,405.14","","0.30%"
"10/24/2012","1,408.75","1,413.20","1,420.04","1,407.10","","-0.31%"
"10/23/2012","1,413.11","1,433.74","1,433.74","1,407.56","","-1.44%"
"10/22/2012","1,433.82","1,433.21","1,435.46","1,422.06","","0.04%"
"10/19/2012","1,433.19","1,457.34","1,457.34","1,429.85","","-1.66%"
"10/18/2012","1,457.34","1,460.94","1,464.02","1,452.63","","-0.24%"
"10/17/2012","1,460.91","1,454.22","1,462.20","1,453.35","","0.41%"
"10/16/2012","1,454.92","1,440.31","1,455.51","1,440.31","","1.03%"
"10/15/2012","1,440.13","1,428.75","1,441.31","1,427.24","","0.81%"
"10/12/2012","1,428.59","1,432.84","1,438.43","1,425.53","","-0.30%"
"10/11/2012","1,432.84","1,432.82","1,443.90","1,432.82","","0.02%"
"10/10/2012","1,432.56","1,441.48","1,442.52","1,430.64","","-0.62%"
"10/09/2012","1,441.48","1,455.90","1,455.90","1,441.18","","-0.99%"
"10/08/2012","1,455.88","1,460.93","1,460.93","1,453.10","","-0.35%"
"10/05/2012","1,460.93","1,461.40","1,470.96","1,456.89","","-0.03%"
"10/04/2012","1,461.40","1,451.08","1,463.14","1,451.08","","0.72%"
"10/03/2012","1,450.99","1,446.05","1,454.30","1,441.99","","0.36%"
"10/02/2012","1,445.75","1,444.99","1,451.52","1,439.01","","0.09%"
"10/01/2012","1,444.49","1,440.90","1,457.14","1,440.90","","0.27%"
"09/28/2012","1,440.67","1,447.13","1,447.13","1,435.60","","-0.45%"
"09/27/2012","1,447.15","1,433.36","1,450.20","1,433.36","","0.96%"
"09/26/2012","1,433.32","1,441.60","1,441.60","1,430.53","","-0.57%"
"09/25/2012","1,441.59","1,456.94","1,463.24","1,441.59","","-1.05%"
"09/24/2012","1,456.89","1,459.76","1,460.72","1,452.06","","-0.22%"
"09/21/2012","1,460.15","1,460.34","1,467.07","1,459.51","","-0.01%"
"09/20/2012","1,460.26","1,461.05","1,461.23","1,449.98","","-0.05%"
"09/19/2012","1,461.05","1,459.50","1,465.15","1,457.88","","0.12%"
"09/18/2012","1,459.32","1,461.19","1,461.47","1,456.13","","-0.13%"
"09/17/2012","1,461.19","1,465.42","1,465.63","1,457.55","","-0.31%"
"09/14/2012","1,465.77","1,460.07","1,474.51","1,460.07","","0.40%"
"09/13/2012","1,459.99","1,436.56","1,463.76","1,435.34","","1.63%"
"09/12/2012","1,436.56","1,433.56","1,439.15","1,432.99","","0.21%"
"09/11/2012","1,433.56","1,429.13","1,437.76","1,429.13","","0.31%"
"09/10/2012","1,429.08","1,437.92","1,438.74","1,428.98","","-0.61%"
"09/07/2012","1,437.92","1,432.12","1,437.92","1,431.45","","0.40%"
"09/06/2012","1,432.12","1,403.44","1,432.12","1,403.44","","2.04%"
"09/05/2012","1,403.44","1,404.94","1,408.81","1,401.25","","-0.11%"
"09/04/2012","1,404.94","1,406.54","1,409.31","1,396.56","","-0.12%"
"08/31/2012","1,406.58","1,400.07","1,413.09","1,398.96","","0.51%"
"08/30/2012","1,399.48","1,410.08","1,410.08","1,397.01","","-0.78%"
"08/29/2012","1,410.49","1,409.32","1,413.95","1,406.57","","0.08%"
"08/28/2012","1,409.30","1,410.44","1,413.63","1,405.59","","-0.08%"
"08/27/2012","1,410.44","1,411.13","1,416.17","1,409.11","","-0.05%"
"08/24/2012","1,411.13","1,401.99","1,413.46","1,398.04","","0.65%"
"08/23/2012","1,402.08","1,413.49","1,413.49","1,400.50","","-0.81%"
"08/22/2012","1,413.49","1,413.09","1,416.12","1,406.78","","0.02%"
"08/21/2012","1,413.17","1,418.13","1,426.68","1,410.86","","-0.35%"
"08/20/2012","1,418.13","1,417.85","1,418.13","1,412.12","","0.00%"
"08/17/2012","1,418.16","1,415.84","1,418.71","1,414.67","","0.19%"
"08/16/2012","1,415.51","1,406.61","1,417.44","1,404.15","","0.71%"
"08/15/2012","1,405.53","1,403.89","1,407.73","1,401.83","","0.11%"
"08/14/2012","1,403.93","1,404.36","1,410.03","1,400.60","","-0.01%"
"08/13/2012","1,404.11","1,405.87","1,405.87","1,397.32","","-0.13%"
"08/10/2012","1,405.87","1,402.58","1,405.98","1,395.62","","0.22%"
"08/09/2012","1,402.80","1,402.26","1,405.95","1,398.80","","0.04%"
"08/08/2012","1,402.22","1,401.23","1,404.14","1,396.13","","0.06%"
"08/07/2012","1,401.35","1,394.46","1,407.14","1,394.46","","0.51%"
"08/06/2012","1,394.23","1,391.04","1,399.63","1,391.04","","0.23%"
"08/03/2012","1,390.99","1,365.45","1,394.16","1,365.45","","1.90%"
"08/02/2012","1,365.00","1,375.13","1,375.13","1,354.65","","-0.74%"
"08/01/2012","1,375.14","1,379.32","1,385.03","1,373.35","","-0.30%"
"07/31/2012","1,379.32","1,385.27","1,387.16","1,379.17","","-0.43%"
"07/30/2012","1,385.30","1,385.94","1,391.74","1,381.37","","-0.05%"
"07/27/2012","1,385.97","1,360.05","1,389.19","1,360.05","","1.91%"
"07/26/2012","1,360.02","1,338.17","1,363.13","1,338.17","","1.65%"
"07/25/2012","1,337.89","1,338.35","1,343.98","1,331.50","","-0.03%"
"07/24/2012","1,338.31","1,350.52","1,351.53","1,329.24","","-0.90%"
"07/23/2012","1,350.52","1,362.34","1,362.34","1,337.56","","-0.89%"
"07/20/2012","1,362.66","1,376.51","1,376.51","1,362.19","","-1.01%"
"07/19/2012","1,376.51","1,373.01","1,380.39","1,371.21","","0.27%"
"07/18/2012","1,372.78","1,363.58","1,375.26","1,358.96","","0.67%"
"07/17/2012","1,363.67","1,353.68","1,365.36","1,345.07","","0.74%"
"07/16/2012","1,353.64","1,356.50","1,357.26","1,348.51","","-0.23%"
"07/13/2012","1,356.78","1,334.81","1,357.70","1,334.81","","1.65%"
"07/12/2012","1,334.76","1,341.29","1,341.29","1,325.41","","-0.50%"
"07/11/2012","1,341.45","1,341.40","1,345.00","1,333.25","","0.00%"
"07/10/2012","1,341.47","1,352.96","1,361.54","1,336.27","","-0.81%"
"07/09/2012","1,352.46","1,354.66","1,354.87","1,346.65","","-0.16%"
"07/06/2012","1,354.68","1,367.09","1,367.09","1,348.03","","-0.94%"
"07/05/2012","1,367.58","1,373.72","1,373.85","1,363.02","","-0.47%"
"07/03/2012","1,374.02","1,365.75","1,374.81","1,363.53","","0.62%"
"07/02/2012","1,365.51","1,362.33","1,366.35","1,355.70","","0.25%"
"06/29/2012","1,362.16","1,330.12","1,362.17","1,330.12","","2.49%"
"06/28/2012","1,329.04","1,331.52","1,331.52","1,313.29","","-0.21%"
"06/27/2012","1,331.85","1,320.71","1,334.40","1,320.71","","0.90%"
"06/26/2012","1,319.99","1,314.09","1,324.24","1,310.30","","0.48%"
"06/25/2012","1,313.72","1,334.90","1,334.90","1,309.27","","-1.60%"
"06/22/2012","1,335.02","1,325.92","1,337.82","1,325.92","","0.72%"
"06/21/2012","1,325.51","1,355.43","1,358.27","1,324.41","","-2.23%"
"06/20/2012","1,355.69","1,358.04","1,361.57","1,346.45","","-0.17%"
"06/19/2012","1,357.98","1,344.83","1,363.46","1,344.83","","0.98%"
"06/18/2012","1,344.78","1,342.42","1,348.22","1,334.46","","0.14%"
"06/15/2012","1,342.84","1,329.19","1,343.32","1,329.19","","1.03%"
"06/14/2012","1,329.10","1,314.88","1,333.68","1,314.14","","1.08%"
"06/13/2012","1,314.88","1,324.02","1,327.28","1,310.51","","-0.70%"
"06/12/2012","1,324.18","1,309.40","1,324.31","1,306.62","","1.17%"
"06/11/2012","1,308.93","1,325.72","1,335.52","1,307.73","","-1.26%"
"06/08/2012","1,325.66","1,314.99","1,325.81","1,307.77","","0.81%"
"06/07/2012","1,314.99","1,316.15","1,329.05","1,312.68","","-0.01%"
"06/06/2012","1,315.13","1,285.61","1,315.13","1,285.61","","2.30%"
"06/05/2012","1,285.50","1,277.82","1,287.62","1,274.16","","0.57%"
"06/04/2012","1,278.18","1,278.29","1,282.55","1,266.74","","0.01%"
"06/01/2012","1,278.04","1,309.87","1,309.87","1,277.25","","-2.46%"
"05/31/2012","1,310.33","1,313.09","1,319.74","1,298.90","","-0.23%"
"05/30/2012","1,313.32","1,331.25","1,331.25","1,310.76","","-1.43%"
"05/29/2012","1,332.42","1,318.90","1,334.93","1,318.90","","1.11%"
"05/25/2012","1,317.82","1,320.81","1,324.20","1,314.23","","-0.22%"
"05/24/2012","1,320.68","1,318.72","1,324.14","1,310.50","","0.14%"
"05/23/2012","1,318.86","1,316.02","1,320.71","1,296.53","","0.17%"
"05/22/2012","1,316.63","1,316.09","1,328.49","1,310.04","","0.05%"
"05/21/2012","1,315.99","1,295.73","1,316.39","1,295.73","","1.60%"
