,.SPX,.GDAXI,.FCHI,.FTSE,.OMXSPI,.N225,.KS11,.HSI
0,0.005256323592790353,0.005321899555896421,0.005243831718311152,0.004577116609682139,0.005303200485209734,0.006351642612024151,0.00416192512141989,0.003382360331733524
1,0.005143525068678265,0.004198261189970593,0.004752107333615358,0.0036037263112187914,0.004505943998554581,0.005755234964610394,0.004880123232280256,0.0031688046190441444
2,0.004796843960315814,0.004632702015282141,0.005408693535026297,0.005984531270171741,0.005041766542290891,0.005429524607625398,0.0053156851991869895,0.004018092792403902
3,0.005759701322058705,0.007075852892504645,0.007345332265381421,0.0052452278715583115,0.005927251716857242,0.00804342625795,0.006044461115756503,0.0058761587485512
4,0.00509289387179402,0.005453062267034629,0.0056845655020399686,0.005473463904145944,0.005393020332977521,0.008035129822249742,0.004903797167985223,0.0053391018743642
5,0.004733836717104594,0.006047413809140034,0.006055061115124181,0.0045942747143860275,0.0050311773918700195,0.009304272435160445,0.0049059085437279555,0.00540985131853005
6,0.004367598593154883,0.007696934851366608,0.007628637193796846,0.007800440507129392,0.00860150862378999,0.008274767444891076,0.006123657176685139,0.00686576466238941
7,0.005074668305490195,0.005724103615290293,0.0046641370899759005,0.005289505439754261,0.005105338051072469,0.007392237528024173,0.006743366510541366,0.00487438406201186
8,0.004425254901323334,0.004527793812909216,0.0050342905318688045,0.0037924724869873865,0.004737841384472159,0.00580123624274058,0.004612389763397076,0.009343077910225294
9,0.006332603785430864,0.005384800636319255,0.005191270363152018,0.005077745027104988,0.005962674183959592,0.008207396133249141,0.004439714053585276,0.00713394428296092
10,0.0049816416436460915,0.0054207030829913246,0.0052403971123149195,0.004324358894911003,0.006642964897251854,0.008380498015323385,0.006801301630970669,0.005802738667180155
11,0.003984305215798855,0.005740566553469652,0.004734656494929767,0.004592270600003613,0.00629899227132617,0.010764612414541047,0.004618927400980618,0.006134509973381393
12,0.003981426572252811,0.0047167455110794405,0.004494404511736432,0.004967596189071336,0.004670460472879136,0.007292694121414617,0.004989156776462344,0.0049194598634862
13,0.006068330486401383,0.0062109396153476855,0.005367828426127049,0.006123920476916468,0.005603105759294047,0.007419819061703146,0.0037217531459589168,0.006971839548165918
